-40,18,79
-27,14,48
-26,16,45
-29,19,55
-31,20,59
-34,20,56
-32,21,55
-33,21,55
-33,18,53
-34,17,53
-34,16,54
-33,16,55
-32,17,54
-32,17,54
-33,17,54
-33,17,54
-33,17,53
-33,17,54
-34,17,54
-34,17,53
-34,17,53
-33,17,54
-34,17,53
-34,17,53
-34,16,52
-34,16,52
-34,17,54
-34,18,54
-35,19,53
-34,18,53
-34,18,53
-33,18,53
-34,18,53
-34,18,53
-34,18,53
-34,18,53
-34,18,53
-35,18,54
-35,18,54
-34,18,54
-33,18,53
-32,17,52
-32,17,53
-33,16,54
-34,16,54
-35,17,54
-34,17,53
-34,17,54
-33,17,53
-33,17,54
-34,17,54
-34,17,53
-34,17,53
-33,16,53
-34,16,53
-38,16,55
-31,19,57
-28,20,57
-29,20,52
-37,16,49
-38,15,52
-34,16,56
-32,17,55
-32,18,53
-32,18,53
-33,18,53
-33,18,54
-33,18,55
-33,18,54
-33,18,54
-32,18,54
-32,18,54
-32,18,53
-33,18,53
-33,17,54
-33,17,54
-33,17,54
-33,18,54
-32,18,54
-32,18,54
-33,18,54
-33,18,54
-33,17,54
-34,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-32,18,54
-32,18,54
-33,18,53
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-32,18,54
-32,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-32,18,54
-32,18,54
-33,18,54
-33,18,54
-33,18,54
-32,18,54
-32,18,54
-33,18,54
-33,18,53
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,53
-32,18,54
-32,18,54
-33,18,53
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-32,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-32,18,54
-33,18,54
-33,18,54
-33,18,53
-33,18,54
-33,18,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,17,54
-33,17,54
-33,18,54
-32,18,54
-33,18,54
-33,17,54
-33,17,54
-33,18,54
-33,17,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,17,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,17,54
-33,17,54
-33,17,54
-33,18,54
-33,17,54
-33,18,54
-33,17,54
-33,17,54
-33,18,54
-33,18,54
-33,17,54
-33,18,54
-33,17,54
-33,18,54
-33,17,54
-33,17,54
-33,17,54
-33,17,54
-33,18,54
-33,17,54
-33,18,54
-33,17,54
-33,18,54
-33,17,54
-33,17,54
-33,17,54
-33,17,54
-33,17,54
-33,17,54
-33,17,54
-33,17,54
-33,18,54
-33,17,54
-33,17,54
-33,17,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,17,54
-33,17,54
-33,17,54
-33,17,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,53
-33,18,54
-33,18,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,53
-33,18,54
-33,18,54
-32,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,53
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,17,53
-33,18,53
-33,18,54
-33,18,53
-33,18,54
-33,18,54
-33,17,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,17,54
-33,17,54
-33,17,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
-33,18,54
-33,17,54
-33,18,54
-33,18,54
-33,18,54
