Timestamp (ns),ECG Sample (microVolt)
,72
,45
,38
,52
,45
,40
,88
,137
,108
,60
,55
,50
,26
,12
,4
,0
,2
,4
,-2
,2
,40
,105
,274
,670
,1231
1722956161120402214,1515
,776
,-632
,-1058
,-473
,-206
,-192
,-7
,31
,-24
,69
,122
,69
,86
,115
,74
,60
,86
,86
,96
,132
,141
,132
,146
,189
,252
,286
,266
,264
,288
,315
,343
,185
,-182
,-233
,81
,425
,740
,762
,541
,404
,312
,274
,293
,185
,-33
,-283
,-440
,-269
,-81
,-139
,-175
,-137
,-161
,-177
,-146
,-139
,-230
,-598
,-1365
,-2044
,-2051
,-1772
,-1755
,-1772
,-1594
,-1459
,-1481
,-1471
,-1380
,-1322
,-1250
,-930
1722956161681200981,-211
,444
,461
,187
,204
,327
,242
,156
,204
,214
,206
,240
,221
,211
,247
,259
,278
,194
,-57
,-86
,204
,281
,165
,214
,259
,194
,204
,298
,283
,204
,228
,254
,264
,339
,360
,339
,367
,389
,365
,327
,322
,334
,290
,257
,247
,194
,221
,303
,286
,317
,473
,827
,1392
,1637
,966
,-370
,-1002
,-529
,-125
,-74
,9
,9
,-38
,-16
,-62
,-158
,-158
,-115
,-84
,12
,192
,317
,226
1722956162242009922,127
,211
,271
,250
,216
,125
,72
,127
,134
,88
,129
,204
,137
,7
,14
,91
,141
,206
,221
,177
,163
,101
,-19
,-62
,-134
,-327
,-406
,-329
,-324
,-406
,-444
,-509
,-574
,-478
,-377
,-416
,-447
,-420
,-382
,-353
,-329
,-276
,-238
,-247
,-230
,-187
,-168
,-139
,-115
,-153
,-189
,-43
,168
,98
,-103
,-120
,-88
,-129
,-101
,-28
,-28
,-50
,-81
,-146
,-173
,-170
,-180
,-137
,-96
,-108
,-62
,60
,101
1722956162802829035,74
,88
,101
,72
,69
,86
,101
,235
,444
,435
,288
,288
,372
,391
,355
,303
,218
,79
,86
,278
,305
,250
,351
,370
,206
,16
,-93
,-76
,-16
,-16
,-52
,-2
,202
,413
,437
,351
,322
,317
,315
,319
,281
,274
,346
,358
,300
,278
,286
,295
,300
,286
,252
,238
,262
,264
,252
,290
,322
,303
,281
,259
,238
,252
,274
,247
,218
,204
,180
,165
,158
,149
,149
,141
,93
1722956163363617630,79
,173
,206
,132
,125
,197
,233
,303
,586
,1070
,1483
,1216
,14
,-889
,-598
,-122
,-125
,-149
,-101
,-144
,-161
,-101
,-81
,-103
,-84
,-67
,-81
,-43
,72
,125
,64
,28
,52
,76
,79
,84
,129
,151
,180
,312
,461
,541
,598
,651
,639
,615
,687
,767
,788
,805
,793
,743
,673
,572
,437
,329
,288
,233
,125
,55
,45
,24
,-9
,-7
,-7
,-50
,-67
,-31
,-2
,36
,72
,52
,28
1722956163924436743,38
,45
,33
,2
,-28
,-12
,16
,-12
,-48
,-55
,-48
,-33
,-28
,-31
,-24
,-12
,-14
,-60
,-117
,-96
,-36
,-31
,-60
,-79
,-62
,-43
,-43
,-45
,-45
,-33
,-7
,50
,115
,113
,79
,86
,96
,93
,93
,79
,72
,96
,108
,93
,69
,57
,79
,91
,72
,79
,108
,88
,57
,72
,84
,72
,69
,74
,76
,74
,33
,-21
,-9
,38
,45
,43
,67
,74
,60
,50
,48
,57
,79
1722956164485230426,67
,31
,21
,31
,33
,24
,9
,4
,19
,36
,38
,48
,57
,31
,-19
,-36
,-31
,-36
,-26
,-4
,-7
,-14
,-2
,4
,64
,288
,709
,1209
,1310
,408
,-779
,-870
,-300
,-105
,-57
,72
,72
,19
,36
,50
,40
,62
,93
,88
,88
,127
,151
,153
,146
,81
,52
,161
,233
,206
,218
,252
,266
,293
,327
,358
,394
,432
,466
,488
,507
,562
,625
,622
,584
,538
,473
,379
,262
1722956165046044453,146
,64
,4
,-52
,-117
,-185
,-194
,-139
,-115
,-161
,-187
,-117
,-86
,-132
,-134
,-103
,-91
,-84
,-74
,-81
,-76
,-43
,-26
,-36
,-36
,-31
,-28
,-24
,-24
,-43
,-69
,-91
,-93
,-91
,-91
,-91
,-81
,-84
,-98
,-108
,-88
,-43
,-12
,-2
,2
,0
,-21
,-31
,-9
,26
,33
,14
,28
,38
,12
,19
,45
,28
,-16
,-93
,-189
,-262
,-303
,-305
,-281
,-262
,-223
,-125
,45
,127
,86
,96
,86
1722956165606863566,-79
,-204
,-72
,60
,9
,26
,120
,93
,12
,2
,-9
,-149
,-254
,-199
,-163
,-192
,-182
,-175
,-194
,-211
,-211
,-197
,-194
,-211
,-216
,-206
,-189
,-165
,-117
,67
,483
,1046
,1392
,800
,-596
,-1197
,-656
,-274
,-223
,-43
,48
,0
,21
,67
,62
,72
,105
,117
,115
,125
,139
,151
,163
,173
,175
,175
,194
,226
,247
,269
,300
,327
,358
,404
,452
,485
,502
,529
,589
,634
,649
,654
,627
1722956166167672505,543
,440
,339
,211
,74
,-38
,-122
,-177
,-214
,-238
,-257
,-286
,-295
,-283
,-276
,-278
,-283
,-274
,-238
,-211
,-206
,-161
,-93
,-88
,-108
,-103
,-88
,-52
,7
,26
,55
,105
,101
,93
,113
,91
,26
,-28
,-57
,-86
,-101
,-86
,-69
,-33
,28
,40
,2
,0
,31
,36
,19
,12
,-21
,-108
,-146
,-129
,-146
,-144
,-110
,-84
,-67
,-55
,-2
,62
,84
,86
,74
,57
,50
,40
,31
,14
,-2
1722956166728471274,-2
,26
,52
,57
,72
,86
,81
,60
,-12
,-38
,12
,-57
,-175
,-88
,48
,21
,-36
,-33
,-7
,14
,12
,16
,36
,33
,26
,33
,31
,16
,9
,24
,52
,113
,327
,779
,1356
,1471
,406
,-868
,-829
,-204
,-72
,-12
,168
,168
,115
,151
,163
,151
,173
,175
,158
,173
,187
,180
,180
,194
,214
,226
,221
,221
,250
,286
,307
,322
,346
,351
,336
,375
,435
,468
,524
,627
,690
1722956167289290385,685
,654
,598
,512
,420
,317
,177
,57
,-28
,-117
,-180
,-194
,-206
,-223
,-223
,-290
,-440
,-512
,-468
,-435
,-432
,-413
,-391
,-379
,-360
,-324
,-300
,-303
,-295
,-259
,-216
,-163
,-52
,48
,38
,12
,28
,31
,12
,0
,-14
,-19
,-16
,-14
,-45
,-113
,-60
,93
,67
,-211
,-454
,-351
,-137
,-86
,-33
,26
,-28
,-33
,52
,38
,-40
,-45
,-7
,-4
,7
,69
,76
,0
,-16
,31
,24
,14
,55
1722956167850084070,67
,55
,64
,40
,-7
,2
,26
,19
,12
,19
,26
,19
,-4
,-21
,-12
,-14
,-69
,-108
,-125
,-199
,-242
,-189
,-161
,-192
,-153
,-72
,-129
,-156
,-43
,-36
,-105
,-108
,-72
,-38
,-120
,-223
,-115
,21
,7
,2
,43
,-7
,-153
,-127
,149
,360
,444
,694
,1168
,1642
,1567
,468
,-656
,-555
,4
,134
,187
,312
,199
,-96
,-197
,-110
,-88
,-67
,-40
,-69
,-36
,36
,98
,283
,418
,271
,69
1722956168410898097,84
,315
,512
,500
,492
,560
,560
,538
,565
,581
,603
,639
,514
,329
,377
,416
,266
,235
,324
,387
,387
,271
,134
,88
,74
,38
,0
,-7
,-2
,-33
,-96
,-117
,-105
,-86
,-93
,-137
,-137
,-74
,-50
,-69
,-64
,-57
,-64
,-50
,-38
,-50
,-45
,-19
,0
,-4
,-19
,-7
,16
,21
,26
,60
,69
,2
,-69
,-26
,60
,93
,161
,218
,199
,199
,209
,189
,177
,173
,153
,151
,189
1722956168971701950,202
,153
,117
,122
,122
,127
,139
,132
,108
,69
,36
,33
,48
,79
,110
,98
,72
,86
,108
,84
,74
,132
,153
,101
,91
,122
,120
,98
,101
,110
,91
,64
,50
,36
,55
,101
,86
,55
,72
,84
,72
,74
,93
,117
,122
,101
,91
,113
,113
,57
,19
,0
,-91
,-242
,-331
,-327
,-348
,-377
,-233
,-16
,9
,-69
,-115
,-76
,226
,709
,959
,396
,-817
,-1317
,-805
,-418
,-360
